SYMBOL,STOCK NAME,LISTING DATE
20MICRONS.NS,20 MICRONS LIMITED,2008-10-06
21STCENMGM.NS,21ST CENTURY MANAGEMENT SERVICES LIMITED,1995-05-03
360ONE.NS,360 ONE WAM LIMITED,2019-09-19
3BBLACKBIO.NS,3B BLACKBIO DX LIMITED,2026-04-20
3IINFOLTD.NS,3I INFOTECH LIMITED,2021-10-22
3MINDIA.NS,3M INDIA LIMITED,2004-08-13
3PLAND.NS,3P LAND HOLDINGS LIMITED,1995-07-19
5PAISA.NS,5PAISA CAPITAL LIMITED,2017-11-16
63MOONS.NS,63 MOONS TECHNOLOGIES LIMITED,2005-06-20
A2ZINFRA.NS,A2Z INFRA ENGINEERING LIMITED,2010-12-23
AAATECH.NS,AAA TECHNOLOGIES LIMITED,2022-11-28
AADHARHFC.NS,AADHAR HOUSING FINANCE LIMITED,2024-05-15
AAKASH.NS,AAKASH EXPLORATION SERVICES LIMITED,2020-09-29
AAREYDRUGS.NS,AAREY DRUGS & PHARMACEUTICALS LIMITED,2021-08-06
AARNAV.NS,AARNAV FASHIONS LIMITED,2026-02-25
AARON.NS,AARON INDUSTRIES LIMITED,2020-11-06
AARTECH.NS,AARTECH SOLONICS LIMITED,2023-07-10
AARTIDRUGS.NS,AARTI DRUGS LIMITED,2003-09-19
AARTIIND.NS,AARTI INDUSTRIES LIMITED,1995-02-08
AARTIPHARM.NS,AARTI PHARMALABS LIMITED,2023-01-30
AARTISURF.NS,AARTI SURFACTANTS LIMITED,2020-07-14
AARVI.NS,AARVI ENCON LIMITED,2020-06-24
AAVAS.NS,AAVAS FINANCIERS LIMITED,2018-10-08
ABANSENT.NS,ABANS ENTERPRISES LIMITED,2026-04-20
ABB.NS,ABB INDIA LIMITED,1995-02-08
ABBOTINDIA.NS,ABBOTT INDIA LIMITED,2010-01-08
ABCAPITAL.NS,ADITYA BIRLA CAPITAL LIMITED,2017-09-01
ABCOTS.NS,A B COTSPIN INDIA LIMITED,2025-09-24
ABDL.NS,ALLIED BLENDERS AND DISTILLERS LIMITED,2024-07-02
ABFRL.NS,ADITYA BIRLA FASHION AND RETAIL LIMITED,2013-07-17
ABINFRA.NS,A B INFRABUILD LIMITED,2024-11-08
ABLBL.NS,ADITYA BIRLA LIFESTYLE BRANDS LIMITED,2025-06-23
ABMINTLLTD.NS,ABM INTERNATIONAL LIMITED,2021-09-09
ABMKNO.NS,ABM KNOWLEDGEWARE LIMITED,2026-04-20
ABREL.NS,ADITYA BIRLA REAL ESTATE LIMITED,2003-06-27
ABSLAMC.NS,ADITYA BIRLA SUN LIFE AMC LIMITED,2021-10-11
ACC.NS,ACC LIMITED,1996-11-20
ACCELYA.NS,ACCELYA SOLUTIONS INDIA LIMITED,1999-12-01
ACCURACY.NS,ACCURACY SHIPPING LIMITED,2020-12-11
ACE.NS,ACTION CONSTRUCTION EQUIPMENT LIMITED,2006-09-26
ACEINTEG.NS,ACE INTEGRATED SOLUTIONS LIMITED,2022-11-04
ACI.NS,ARCHEAN CHEMICAL INDUSTRIES LIMITED,2022-11-21
ACL.NS,ANDHRA CEMENTS LIMITED,2023-05-10
ACMESOLAR.NS,ACME SOLAR HOLDINGS LIMITED,2024-11-13
ACSTECH.NS,ACS TECHNOLOGIES LIMITED,2026-04-20
ACUTAAS.NS,ACUTAAS CHEMICALS LIMITED,2021-09-14
ADANIENSOL.NS,ADANI ENERGY SOLUTIONS LIMITED,2015-07-31
ADANIENT.NS,ADANI ENTERPRISES LIMITED,1997-06-04
ADANIGREEN.NS,ADANI GREEN ENERGY LIMITED,2018-06-18
ADANIPORTS.NS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,2007-11-27
ADANIPOWER.NS,ADANI POWER LIMITED,2009-08-20
ADFFOODS.NS,ADF FOODS LIMITED,2010-09-15
ADL.NS,ARCHIDPLY DECOR LIMITED,2020-10-01
ADOR.NS,ADOR WELDING LIMITED,1995-05-10
ADROITINFO.NS,ADROIT INFOTECH LIMITED,1997-08-13
ADSL.NS,ALLIED DIGITAL SERVICES LIMITED,2007-07-25
ADVAIT.NS,ADVAIT ENERGY TRANSITIONS LIMITED,2026-01-20
ADVANCE.NS,ADVANCE AGROLIFE LIMITED,2025-10-08
ADVANIHOTR.NS,ADVANI HOTELS & RESORTS (INDIA) LIMITED,2007-06-25
ADVENTHTL.NS,ADVENT HOTELS INTERNATIONAL LIMITED,2025-11-13
ADVENZYMES.NS,ADVANCED ENZYME TECHNOLOGIES LIMITED,2016-08-01
AEGISLOG.NS,AEGIS LOGISTICS LIMITED,1996-04-03
AEGISVOPAK.NS,AEGIS VOPAK TERMINALS LIMITED,2025-06-02
AEPL.NS,ARTEMIS ELECTRICALS AND PROJECTS LIMITED,2026-03-12
AEQUS.NS,AEQUS LIMITED,2025-12-10
AEROENTER.NS,AEROFLEX ENTERPRISES LIMITED,2022-11-21
AEROFLEX.NS,AEROFLEX INDUSTRIES LIMITED,2023-08-31
AERONEU.NS,AEROFLEX NEU LIMITED,2023-01-12
AETHER.NS,AETHER INDUSTRIES LIMITED,2022-06-03
AFCONS.NS,AFCONS INFRASTRUCTURE LIMITED,2024-11-04
AFFLE.NS,AFFLE 3I LIMITED,2019-08-08
AFFORDABLE.NS,AFFORDABLE ROBOTIC & AUTOMATION LIMITED,2024-10-23
AFIL.NS,AKME FINTRADE (INDIA) LIMITED,2024-06-26
AFSL.NS,ABANS FINANCIAL SERVICES LIMITED,2022-12-23
AGARIND.NS,AGARWAL INDUSTRIAL CORPORATION LIMITED,2014-05-26
AGARWALEYE.NS,DR. AGARWAL'S HEALTH CARE LIMITED,2025-02-04
AGI.NS,AGI GREENPAC LIMITED,2000-05-31
AGIIL.NS,AGI INFRA LIMITED,2024-07-15
AGRITECH.NS,AGRI-TECH (INDIA) LIMITED,2014-01-28
